IAD1 # Must be first four characters
# Input Example with a single set of sphere coefficients 
# The order of entries is important 
# Anything after a ’#’ is ignored, blank lines are also ignored

1.34 # Index of refraction of the sample 
1.50 # Index of refraction of the top and bottom slides 
1.0 # [mm] Thickness of sample 
1.0 # [mm] Thickness of slides 
5.0 # [mm] Diameter of illumination beam 
0.96 # Reflectance of the calibration standard
1 # Number of spheres used during each measurement

# Properties of sphere used for reflectance measurements 203.2 # [mm] Sphere Diameter (8 in * 25.4 mm/in) 
25.4 # [mm] Sample Port Diameter 
12.7 # [mm] Entrance Port Diameter 
1.00 # [mm] Detector Port Diameter 
0.96 # Reflectance of the sphere wall

# Properties of sphere used for transmittance measurements 203.2 # [mm] Sphere Diameter (8 in * 25.4 mm/in) 
25.4 # [mm] Sample Port Diameter 
0.00 # [mm] Entrance Port Diameter 
1.00 # [mm] Detector Port Diameter 
0.96 # Reflectance of the sphere wall

2 # Number of measurements, M_R, M_T

#nm	#M_R	#M_T	#M_U	#r_w 	#t_w 	#rstd 	#tstd
414.6	0.25914634146341464	0.012912912912912912	0.0	0.9788	0.9788	0.98	1.0
415.2	0.2561016382480776	0.013633669235328987	0.0	0.9788	0.9788	0.98	1.0
415.7	0.25752066115702477	0.012012891883973044	0.0	0.9788	0.9788	0.98	1.0
416.2	0.2558746736292428	0.010428736964078795	0.0	0.9788	0.9788	0.98	1.0
416.8	0.25322164948453607	0.009496402877697842	0.0	0.9788	0.9788	0.98	1.0
417.3	0.2576433121019108	0.011082693947144074	0.0	0.9788	0.9788	0.98	1.0
417.8	0.2598870056497175	0.011542792792792793	0.0	0.9788	0.9788	0.98	1.0
418.4	0.25583566760037346	0.008642319487036521	0.0	0.9788	0.9788	0.98	1.0
418.9	0.2558282208588957	0.010459675199559593	0.0	0.9788	0.9788	0.98	1.0
419.4	0.25591985428051	0.01064410480349345	0.0	0.9788	0.9788	0.98	1.0
420.0	0.257134274556924	0.012172031376791993	0.0	0.9788	0.9788	0.98	1.0
420.5	0.2557932263814617	0.01155292853304675	0.0	0.9788	0.9788	0.98	1.0
421.0	0.2556701030927835	0.010130631831511597	0.0	0.9788	0.9788	0.98	1.0
421.5	0.2568353694008144	0.012644889357218124	0.0	0.9788	0.9788	0.98	1.0
422.1	0.25144675925925924	0.012572027239392353	0.0	0.9788	0.9788	0.98	1.0
422.6	0.2551487414187643	0.012204622176058166	0.0	0.9788	0.9788	0.98	1.0
423.1	0.2541123085649461	0.013164687661331956	0.0	0.9788	0.9788	0.98	1.0
423.7	0.25400393368923857	0.012840267077555213	0.0	0.9788	0.9788	0.98	1.0
424.2	0.25551521921251047	0.01627670396744659	0.0	0.9788	0.9788	0.98	1.0
424.7	0.25511898173768677	0.01389941875157948	0.0	0.9788	0.9788	0.98	1.0
425.3	0.25596053713346123	0.011581067472306143	0.0	0.9788	0.9788	0.98	1.0
425.8	0.2539509536784741	0.0124750499001996	0.0	0.9788	0.9788	0.98	1.0
426.3	0.25094850948509484	0.015384615384615385	0.0	0.9788	0.9788	0.98	1.0
426.9	0.25328330206378985	0.012564671101256468	0.0	0.9788	0.9788	0.98	1.0
427.4	0.25232898589299974	0.012239902080783354	0.0	0.9788	0.9788	0.98	1.0
427.9	0.2521716241116083	0.014111922141119221	0.0	0.9788	0.9788	0.98	1.0
428.5	0.2553357626236335	0.01561749159058145	0.0	0.9788	0.9788	0.98	1.0
429.0	0.25308641975308643	0.01667857993805099	0.0	0.9788	0.9788	0.98	1.0
429.6	0.2541856925418569	0.014806110458284371	0.0	0.9788	0.9788	0.98	1.0
430.1	0.255	0.015755329008341055	0.0	0.9788	0.9788	0.98	1.0
430.6	0.25325792967789523	0.015996343692870202	0.0	0.9788	0.9788	0.98	1.0
431.2	0.2515071135760791	0.01684257803727824	0.0	0.9788	0.9788	0.98	1.0
431.7	0.25414495499763146	0.01588702559576346	0.0	0.9788	0.9788	0.98	1.0
432.2	0.2527906976744186	0.015842013888888888	0.0	0.9788	0.9788	0.98	1.0
432.8	0.25177223873770865	0.015430775825117874	0.0	0.9788	0.9788	0.98	1.0
433.3	0.25303370786516854	0.01412310286677909	0.0	0.9788	0.9788	0.98	1.0
433.8	0.25364238410596024	0.015938729041606294	0.0	0.9788	0.9788	0.98	1.0
434.4	0.2517331022530329	0.016306563391765186	0.0	0.9788	0.9788	0.98	1.0
434.9	0.25176621708413616	0.01588897827835881	0.0	0.9788	0.9788	0.98	1.0
435.4	0.25293870696893367	0.016650148662041626	0.0	0.9788	0.9788	0.98	1.0
436.0	0.253217102532171	0.01544175136825645	0.0	0.9788	0.9788	0.98	1.0
436.5	0.2505120852109791	0.01680509947846243	0.0	0.9788	0.9788	0.98	1.0
437.0	0.2528898803488136	0.015360983102918587	0.0	0.9788	0.9788	0.98	1.0
437.6	0.25190380761523046	0.01804025826053931	0.0	0.9788	0.9788	0.98	1.0
438.1	0.251494619370267	0.014962121212121211	0.0	0.9788	0.9788	0.98	1.0
438.6	0.2516818361693708	0.01672303645246148	0.0	0.9788	0.9788	0.98	1.0
439.2	0.24945812807881773	0.01646090534979424	0.0	0.9788	0.9788	0.98	1.0
439.7	0.24897240164415738	0.015479298769116	0.0	0.9788	0.9788	0.98	1.0
440.2	0.25253510140405616	0.01602086438152012	0.0	0.9788	0.9788	0.98	1.0
440.8	0.2505361668941314	0.016942841184137032	0.0	0.9788	0.9788	0.98	1.0
441.3	0.2511167216935327	0.016149990718396137	0.0	0.9788	0.9788	0.98	1.0
441.8	0.24970918960837535	0.01812465322729795	0.0	0.9788	0.9788	0.98	1.0
442.4	0.2508710801393728	0.016879985160452606	0.0	0.9788	0.9788	0.98	1.0
442.9	0.24927424037158893	0.017410631598444155	0.0	0.9788	0.9788	0.98	1.0
443.5	0.2507237984944991	0.0177744862062581	0.0	0.9788	0.9788	0.98	1.0
444.0	0.2500480861704174	0.01574074074074074	0.0	0.9788	0.9788	0.98	1.0
444.5	0.24947145877378435	0.01812800591934887	0.0	0.9788	0.9788	0.98	1.0
445.1	0.2511975474228779	0.016589861751152075	0.0	0.9788	0.9788	0.98	1.0
445.6	0.2501905487804878	0.017225581821513652	0.0	0.9788	0.9788	0.98	1.0
446.1	0.25023553796872056	0.01928324540658541	0.0	0.9788	0.9788	0.98	1.0
446.7	0.24804031354983203	0.018990775908844276	0.0	0.9788	0.9788	0.98	1.0
447.2	0.24935161170804002	0.01833213515456506	0.0	0.9788	0.9788	0.98	1.0
447.7	0.24935779816513762	0.017562533262373604	0.0	0.9788	0.9788	0.98	1.0
448.3	0.24850786760716223	0.018245614035087718	0.0	0.9788	0.9788	0.98	1.0
448.8	0.2500891901534071	0.019560325428423057	0.0	0.9788	0.9788	0.98	1.0
449.3	0.2495171202809482	0.018076398362892224	0.0	0.9788	0.9788	0.98	1.0
449.9	0.24866171645657054	0.017821116341627436	0.0	0.9788	0.9788	0.98	1.0
450.4	0.2502119003220885	0.0183228788379003	0.0	0.9788	0.9788	0.98	1.0
450.9	0.24770642201834864	0.01955671447196871	0.0	0.9788	0.9788	0.98	1.0
451.5	0.24930339288641207	0.01890116930962678	0.0	0.9788	0.9788	0.98	1.0
452.0	0.24754704841563455	0.01981755268952501	0.0	0.9788	0.9788	0.98	1.0
452.6	0.25114806017418845	0.019066811347077973	0.0	0.9788	0.9788	0.98	1.0
453.1	0.24809457147301292	0.020240450464160707	0.0	0.9788	0.9788	0.98	1.0
453.6	0.24708588957055214	0.02100840336134454	0.0	0.9788	0.9788	0.98	1.0
454.2	0.2477769404672193	0.02171664943123061	0.0	0.9788	0.9788	0.98	1.0
454.7	0.24802856717750335	0.019576333089846604	0.0	0.9788	0.9788	0.98	1.0
455.2	0.24816876648110167	0.019355770619673553	0.0	0.9788	0.9788	0.98	1.0
455.8	0.2470605312817535	0.01998001998001998	0.0	0.9788	0.9788	0.98	1.0
456.3	0.24665804225959465	0.020364870598218072	0.0	0.9788	0.9788	0.98	1.0
456.8	0.24718460441910192	0.019571951562940018	0.0	0.9788	0.9788	0.98	1.0
457.4	0.24879977407512002	0.020223152022315203	0.0	0.9788	0.9788	0.98	1.0
457.9	0.2469828795958462	0.020124913254684247	0.0	0.9788	0.9788	0.98	1.0
458.5	0.24674597620713787	0.02109353316680544	0.0	0.9788	0.9788	0.98	1.0
459.0	0.24790969899665552	0.01987577639751553	0.0	0.9788	0.9788	0.98	1.0
459.5	0.24850839461634522	0.021197522367515487	0.0	0.9788	0.9788	0.98	1.0
460.1	0.2480942480942481	0.021022258862324814	0.0	0.9788	0.9788	0.98	1.0
460.6	0.24716459197787	0.021571860401209123	0.0	0.9788	0.9788	0.98	1.0
461.1	0.24703284570797682	0.02114222954420648	0.0	0.9788	0.9788	0.98	1.0
461.7	0.24786442546155965	0.022054794520547944	0.0	0.9788	0.9788	0.98	1.0
462.2	0.24548587181254308	0.02137279079325935	0.0	0.9788	0.9788	0.98	1.0
462.7	0.24693568379011155	0.02110167169087421	0.0	0.9788	0.9788	0.98	1.0
463.3	0.24800988196541313	0.022705512241827385	0.0	0.9788	0.9788	0.98	1.0
463.8	0.24708304735758407	0.02164680093163447	0.0	0.9788	0.9788	0.98	1.0
464.4	0.24835706462212487	0.02051983584131327	0.0	0.9788	0.9788	0.98	1.0
464.9	0.24618528610354223	0.021264994547437296	0.0	0.9788	0.9788	0.98	1.0
465.4	0.24643971246439714	0.020203389830508473	0.0	0.9788	0.9788	0.98	1.0
466.0	0.24515868746637978	0.021422797089733225	0.0	0.9788	0.9788	0.98	1.0
466.5	0.2479593202194567	0.022788203753351208	0.0	0.9788	0.9788	0.98	1.0
467.0	0.24701195219123506	0.02079445481205012	0.0	0.9788	0.9788	0.98	1.0
467.6	0.24673267326732673	0.02279353299761463	0.0	0.9788	0.9788	0.98	1.0
468.1	0.24554973821989529	0.021847854698604896	0.0	0.9788	0.9788	0.98	1.0
468.7	0.24705119896305897	0.02216427640156454	0.0	0.9788	0.9788	0.98	1.0
469.2	0.24633581897660067	0.023273855702094646	0.0	0.9788	0.9788	0.98	1.0
469.7	0.24599338590689393	0.023544465770953295	0.0	0.9788	0.9788	0.98	1.0
470.3	0.2462178517397882	0.023001652052357352	0.0	0.9788	0.9788	0.98	1.0
470.8	0.24600599101347978	0.021030096965117744	0.0	0.9788	0.9788	0.98	1.0
471.3	0.2460435212660732	0.023491190803448705	0.0	0.9788	0.9788	0.98	1.0
471.9	0.24660882316998656	0.0222194790766572	0.0	0.9788	0.9788	0.98	1.0
472.4	0.2451550387596899	0.023424086337993623	0.0	0.9788	0.9788	0.98	1.0
473.0	0.2454326923076923	0.020868928484256772	0.0	0.9788	0.9788	0.98	1.0
473.5	0.24517742319599906	0.02389572773352643	0.0	0.9788	0.9788	0.98	1.0
474.0	0.24533648170011807	0.024401913875598084	0.0	0.9788	0.9788	0.98	1.0
474.6	0.24523001287603885	0.023048592134964952	0.0	0.9788	0.9788	0.98	1.0
475.1	0.24599675098630772	0.023557126030624265	0.0	0.9788	0.9788	0.98	1.0
475.6	0.2459431465070779	0.02236272099285798	0.0	0.9788	0.9788	0.98	1.0
476.2	0.24536931168534187	0.024985473561882625	0.0	0.9788	0.9788	0.98	1.0
476.7	0.24650687265704874	0.02406850266142097	0.0	0.9788	0.9788	0.98	1.0
477.3	0.2446351931330472	0.024264029438822447	0.0	0.9788	0.9788	0.98	1.0
477.8	0.24482024862806584	0.02513998400182836	0.0	0.9788	0.9788	0.98	1.0
478.3	0.24509803921568626	0.024268541619414833	0.0	0.9788	0.9788	0.98	1.0
478.9	0.24510129525074725	0.024869997739091116	0.0	0.9788	0.9788	0.98	1.0
479.4	0.2441541332747832	0.024242424242424242	0.0	0.9788	0.9788	0.98	1.0
479.9	0.24450010890873447	0.02485510477039679	0.0	0.9788	0.9788	0.98	1.0
480.5	0.24575262417487284	0.023569768728560363	0.0	0.9788	0.9788	0.98	1.0
481.0	0.2448497854077253	0.025052192066805846	0.0	0.9788	0.9788	0.98	1.0
481.6	0.2443520886615516	0.02510094947069737	0.0	0.9788	0.9788	0.98	1.0
482.1	0.24553807160206992	0.02458838821490468	0.0	0.9788	0.9788	0.98	1.0
482.6	0.2454354669464848	0.025941872981700753	0.0	0.9788	0.9788	0.98	1.0
483.2	0.24322077922077923	0.02515991471215352	0.0	0.9788	0.9788	0.98	1.0
483.7	0.24516596008685762	0.02537424355027073	0.0	0.9788	0.9788	0.98	1.0
484.2	0.2448060587452666	0.024413343154793224	0.0	0.9788	0.9788	0.98	1.0
484.8	0.24464521368388997	0.025448477263245724	0.0	0.9788	0.9788	0.98	1.0
485.3	0.24510595358224016	0.02509592450482215	0.0	0.9788	0.9788	0.98	1.0
485.9	0.24465629703963873	0.02522485268272511	0.0	0.9788	0.9788	0.98	1.0
486.4	0.24422540820390282	0.025751513286139324	0.0	0.9788	0.9788	0.98	1.0
486.9	0.24325659519810294	0.02474793767186068	0.0	0.9788	0.9788	0.98	1.0
487.5	0.24459512578616352	0.025664434976668697	0.0	0.9788	0.9788	0.98	1.0
488.0	0.2446351931330472	0.025589361273423334	0.0	0.9788	0.9788	0.98	1.0
488.6	0.2446447610739556	0.026653306613226454	0.0	0.9788	0.9788	0.98	1.0
489.1	0.24545016851227733	0.025730527575546027	0.0	0.9788	0.9788	0.98	1.0
489.6	0.24481566820276499	0.026145740133214038	0.0	0.9788	0.9788	0.98	1.0
490.2	0.2450596658711217	0.026248019017432647	0.0	0.9788	0.9788	0.98	1.0
490.7	0.24346917450365727	0.02608781256152786	0.0	0.9788	0.9788	0.98	1.0
491.2	0.24355083459787558	0.02626143405134258	0.0	0.9788	0.9788	0.98	1.0
491.8	0.2440751581531489	0.026148271471942024	0.0	0.9788	0.9788	0.98	1.0
492.3	0.24456163480553725	0.026728020364205993	0.0	0.9788	0.9788	0.98	1.0
492.9	0.24434219175509436	0.02630549579503227	0.0	0.9788	0.9788	0.98	1.0
493.4	0.24300732119391777	0.027333073018352205	0.0	0.9788	0.9788	0.98	1.0
493.9	0.24315710536182977	0.026647144948755492	0.0	0.9788	0.9788	0.98	1.0
494.5	0.24412177985948477	0.028197872963215923	0.0	0.9788	0.9788	0.98	1.0
495.0	0.24406270534121843	0.027090464547677263	0.0	0.9788	0.9788	0.98	1.0
495.6	0.24372188905547226	0.0271776322221136	0.0	0.9788	0.9788	0.98	1.0
496.1	0.24371010138941043	0.02683380667907159	0.0	0.9788	0.9788	0.98	1.0
496.6	0.24375352244974638	0.0282574568288854	0.0	0.9788	0.9788	0.98	1.0
497.2	0.2442898768681267	0.027655192703736394	0.0	0.9788	0.9788	0.98	1.0
497.7	0.2440258644925499	0.02756253065228053	0.0	0.9788	0.9788	0.98	1.0
498.2	0.2434365295944293	0.02859388817922767	0.0	0.9788	0.9788	0.98	1.0
498.8	0.2438082681985121	0.028402366863905324	0.0	0.9788	0.9788	0.98	1.0
